시도,시군구,읍면동,리,산,본번,부번,도로명,건물본번,건물부번,건물명,우편번호
충청북도,충주시,연수동,,N,123,4,개발용로,25,0,가상아파트 101동,00000
충청북도,충주시,연수동,,N,123,0,개발용로,23,0,,00000
충청북도,충주시,연수동,,N,1123,0,개발용로,101,0,,00000
충청북도,충주시,연수동,,N,12,0,개발용로,11,0,,00000
충청북도,충주시,연수동,,N,312,1,개발용로,301,0,,00000
충청북도,충주시,교현동,,N,123,4,시범대로,45,0,가상상가,00000
충청북도,충주시,교현동,,N,45,0,시범대로 1번길,12,0,,00000
충청북도,충주시,봉방동,,N,7,2,시범대로 1번길,25,0,가상빌딩,00000
충청북도,충주시,칠금동,,N,880,0,예시로,3,0,가상복지센터,00000
충청북도,충주시,칠금동,,N,880,12,예시로,5,0,,00000
충청북도,충주시,주덕읍,사락리,N,201,0,예시로,88,0,,00000
충청북도,충주시,주덕읍,사락리,Y,12,3,예시로,90,0,,00000
충청북도,충주시,살미면,세성리,Y,12,0,가상길,4,0,,00000
충청북도,충주시,살미면,세성리,N,12,0,가상길,6,0,,00000
충청북도,충주시,앙성면,능암리,N,500,0,가상길,120,3,가상마을회관,00000
